"","Non RRT (n=   1124 )","RRT (n=     93 )","p-value"
"""age (mean (sd))"""," 70.80 (13.81)"," 67.78 (13.68)"," 0.042"
"""gender = 1 (%)""","   707 (62.9) ","    62 (66.7) "," 0.541"
"""height (mean (sd))""","169.60 (10.58)","169.61 (10.60)"," 0.994"
"""weight_adm (mean (sd))"""," 83.23 (24.18)"," 84.23 (28.72)"," 0.705"
"""bmi (mean (sd))"""," 28.88 (7.54)"," 29.16 (9.28)"," 0.735"
"""bbr = 1 (%)""","  1018 (90.6) ","    75 (80.6) "," 0.004"
"""inotropes_vasopressor = 1 (%)""","   850 (75.6) ","    73 (78.5) "," 0.620"
"""acei = 1 (%)""","   497 (44.2) ","    13 (14.0) ","<0.001"
"""mra = 1 (%)""","   218 (19.4) ","     5 ( 5.4) "," 0.001"
"""vasodilator = 1 (%)""","   525 (46.7) ","    41 (44.1) "," 0.705"
"""ischemic_heart_disease = 1 (%)""","   758 (67.4) ","    52 (55.9) "," 0.032"
"""cardiomyopathies = 1 (%)""","   274 (24.4) ","    13 (14.0) "," 0.032"
"""valvular_disease = 1 (%)""","   182 (16.2) ","    12 (12.9) "," 0.493"
"""atrial_fibrilation = 1 (%)""","   585 (52.0) ","    40 (43.0) "," 0.117"
"""hyperlipidemia = 1 (%)""","   392 (34.9) ","    13 (14.0) ","<0.001"
"""hypertension = 1 (%)""","   268 (23.8) ","    33 (35.5) "," 0.018"
"""diabetes = 1 (%)""","   471 (41.9) ","    33 (35.5) "," 0.272"
"""sleep_disordered_breathing = 1 (%)""","    87 ( 7.7) ","     2 ( 2.2) "," 0.075"
"""renal_failure = 1 (%)""","   332 (29.5) ","    43 (46.2) "," 0.001"
"""anemia = 1 (%)""","   402 (35.8) ","    30 (32.3) "," 0.571"
"""infection = 1 (%)""","   652 (58.0) ","    72 (77.4) ","<0.001"
"""alcohol_abuse = 1 (%)""","    53 ( 4.7) ","     3 ( 3.2) "," 0.688"
"""hr_adm (mean (sd))"""," 91.35 (19.53)"," 90.88 (20.51)"," 0.826"
"""sbp_adm (mean (sd))""","114.63 (22.25)","113.59 (25.10)"," 0.667"
"""dbp_adm (mean (sd))"""," 62.56 (17.05)"," 59.43 (14.46)"," 0.086"
"""spo2_adm (mean (sd))"""," 89.99 (7.11)"," 94.86 (9.98)","<0.001"
"""tem_adm (mean (sd))"""," 36.33 (2.30)"," 35.99 (3.91)"," 0.196"
"""gfr_adm (mean (sd))"""," 51.33 (26.97)"," 32.99 (25.20)","<0.001"
"""base_excess_adm (mean (sd))"""," -0.38 (5.62)"," -1.78 (5.56)"," 0.026"
"""hco3_adm (mean (sd))"""," 24.54 (5.09)"," 22.52 (5.67)","<0.001"
"""ph_adm (mean (sd))""","  7.38 (0.10)","  7.36 (0.10)"," 0.258"
"""hemoglobin_adm (mean (sd))"""," 11.24 (2.01)"," 10.38 (1.81)","<0.001"
"""albumin_adm (mean (sd))""","  3.20 (0.60)","  2.98 (0.62)"," 0.001"
"""potassium_adm (mean (sd))""","  4.31 (0.76)","  4.63 (1.03)","<0.001"
"""sodium_adm (mean (sd))""","137.59 (5.13)","137.37 (4.27)"," 0.679"
"""creatinine_adm (mean (sd))""","  1.61 (0.95)","  2.72 (1.71)","<0.001"
"""bun_adm (mean (sd))"""," 38.40 (24.74)"," 58.08 (32.67)","<0.001"
"""readmit30 = 1 (%)""","    58 ( 5.2) ","     2 ( 2.2) "," 0.299"
"""readmit90 = 1 (%)""","   142 (12.6) ","    10 (10.8) "," 0.716"
